Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	23_yrs	1037	19	0.00583421469552328	0.169192226170175	ENSG00000138593:ENSG00000076555:ENSG00000119711:ENSG00000154930:ENSG00000155886:ENSG00000134769:ENSG00000173258:ENSG00000165092:ENSG00000118777:ENSG00000078269:ENSG00000107104:ENSG00000196502:ENSG00000130988:ENSG00000147576:ENSG00000146005:ENSG00000148826:ENSG00000118298:ENSG00000166816:ENSG00000008394
DEG.up	30_yrs	1569	15	0.560266205611858	1	ENSG00000160716:ENSG00000125967:ENSG00000138074:ENSG00000103174:ENSG00000140474:ENSG00000155886:ENSG00000130649:ENSG00000155666:ENSG00000078269:ENSG00000196502:ENSG00000116353:ENSG00000148826:ENSG00000009950:ENSG00000166816:ENSG00000167702
DEG.up	36_yrs	838	9	0.424381637622128	1	ENSG00000155886:ENSG00000130649:ENSG00000145819:ENSG00000102908:ENSG00000184254:ENSG00000078269:ENSG00000009950:ENSG00000040199:ENSG00000238083
DEG.up	37_yrs	1075	10	0.59821151669846	1	ENSG00000139436:ENSG00000145819:ENSG00000134769:ENSG00000184254:ENSG00000078269:ENSG00000196502:ENSG00000130988:ENSG00000009950:ENSG00000118298:ENSG00000040199
DEG.up	40_yrs	720	5	0.8310403957227	1	ENSG00000184254:ENSG00000196502:ENSG00000148826:ENSG00000009950:ENSG00000167702
DEG.down	8_pcw	1304	14	0.385047202312222	1	ENSG00000125967:ENSG00000108262:ENSG00000103174:ENSG00000119711:ENSG00000092969:ENSG00000140474:ENSG00000134769:ENSG00000102908:ENSG00000118777:ENSG00000088387:ENSG00000196502:ENSG00000116353:ENSG00000146005:ENSG00000167702
DEG.down	9_pcw	1283	11	0.705088498337134	1	ENSG00000164031:ENSG00000125967:ENSG00000103174:ENSG00000092969:ENSG00000134769:ENSG00000118777:ENSG00000088387:ENSG00000196502:ENSG00000116353:ENSG00000244115:ENSG00000167702
DEG.down	12_pcw	1968	17	0.726315033039861	1	ENSG00000165458:ENSG00000125967:ENSG00000111275:ENSG00000103174:ENSG00000119711:ENSG00000154930:ENSG00000145819:ENSG00000134769:ENSG00000118777:ENSG00000078269:ENSG00000171724:ENSG00000130529:ENSG00000196502:ENSG00000162496:ENSG00000116353:ENSG00000118298:ENSG00000167702
DEG.down	13_pcw	1959	19	0.533600561991627	1	ENSG00000164031:ENSG00000165458:ENSG00000125967:ENSG00000106853:ENSG00000103174:ENSG00000119711:ENSG00000154930:ENSG00000134769:ENSG00000118777:ENSG00000078269:ENSG00000171724:ENSG00000196502:ENSG00000162496:ENSG00000116353:ENSG00000133687:ENSG00000083123:ENSG00000118298:ENSG00000244115:ENSG00000167702
DEG.down	16_pcw	1318	15	0.296560633679037	1	ENSG00000164031:ENSG00000125967:ENSG00000106853:ENSG00000103174:ENSG00000119711:ENSG00000154930:ENSG00000155886:ENSG00000145819:ENSG00000134769:ENSG00000118777:ENSG00000107623:ENSG00000196502:ENSG00000130988:ENSG00000083123:ENSG00000244115
DEG.down	17_pcw	413	3	0.766514470108208	1	ENSG00000164031:ENSG00000102908:ENSG00000118777
DEG.down	19_pcw	575	7	0.323728492221466	1	ENSG00000138593:ENSG00000164031:ENSG00000110422:ENSG00000102908:ENSG00000118777:ENSG00000050438:ENSG00000173276
DEG.down	21_pcw	572	2	0.976206183651218	1	ENSG00000164031:ENSG00000155886
DEG.down	24_pcw	486	3	0.853133352932437	1	ENSG00000106853:ENSG00000103174:ENSG00000196502
DEG.down	26_pcw	31	0	1	1	
