	NPS_common-rare	NPS_single	observed_overlap	expected_overlap_mean	expected_overlap_std	empirical_p	obs_exp	rare_dataset	common_dataset	logp
0	3	1.5	269	284.43	15.178441949027574	0.8453217879111591	0.9457511514256584	rare_neale_20153_irnt_FDR_25	GSCAN_DPW_magma	0.0729779370723287
1	3	1.5	154	145.08	11.367216018005465	0.21631098580745683	1.0614833195478355	rare_neale_20016_FDR_25	GSCAN_DPW_magma	0.664921423443936
2	3	1.5	153	140.24	10.221663269742358	0.10595527562300361	1.0909868796349116	rare_neale_4194_FDR_25	GSCAN_DPW_magma	0.9748774144423971
3	3	1.5	362	325.16	13.210389850416982	0.0026458881277312742	1.1132980686431295	rare_neale_78_FDR_25	GSCAN_DPW_magma	2.5774285224070614
4	3	1.5	133	156.51	11.978726977437962	0.9751563362720417	0.8497859561689349	rare_neale_C50_FDR_25	GSCAN_DPW_magma	0.010925752980987346
5	3	1.5	174	154.14	12.810948442640772	0.06054237990832486	1.1288439081354613	rare_neale_C44_FDR_25	GSCAN_DPW_magma	1.2179405110183998
6	3	1.5	134	124.09	10.23141730162542	0.16637608000572968	1.079861390925941	rare_neale_100016_FDR_25	GSCAN_DPW_magma	0.7789091123496864
7	3	1.5	181	129.46	9.962349120563884	1.148877239841761e-07	1.3981152479530357	rare_strin_allcut_alcoholintake	GSCAN_DPW_magma	6.939726374190378
8	3	1.5	363	312.14	14.381947017007121	0.00020282696232031902	1.1629397065419365	rare_neale_20153_irnt_FDR_25	neale_20153_irnt_magma	3.692874313596067
9	3	1.5	145	158.4	11.782189949241186	0.8722955986294877	0.9154040404040403	alcoholintake_FDR_25	neale_20153_irnt_magma	0.059336318852554436
10	3	1.5	146	148.2	10.644247272588137	0.5818718344296924	0.9851551956815116	alcoholintake_FDR_25	neale_4104_irnt_magma	0.23517266437010323
11	3	1.5	208	147.22	12.216857206335842	3.26081716059445e-07	1.412851514739845	alcoholintake_FDR_25	GSCAN_DPW_magma	6.486673552120471
