,GENE,NPS_rare,NPS_common,NPS_commonrare
0,UBE2Q1,-0.9001549431347534,-2.315852232185547,2.0846258343714728
1,RNF14,-1.2623209249796792,-1.3277967285395154,1.676105594554993
2,UBE2Q2,-0.8264302856869657,-2.2792231397511262,1.8836190305288663
3,TMCO1,-1.5035559570022168,-1.0055824059895304,1.51194941678218
4,UBAC1,0.5287927857854591,-0.6768956733570576,-0.35793754880060263
5,RAB4A,-1.2870239330836355,-0.2639760148972964,0.33974344893286273
6,ZNF706,-1.261193154246633,-0.5228778581234977,0.6594499751724976
7,MIB2,-0.7740807060201578,-1.440881521655693,1.115358585574638
8,RNF114,-0.9130129593708292,-1.437888921614717,1.312811219569983
9,RNF115,-0.5306478294402507,-1.6565515548018348,0.8790454869114661
10,RNF111,1.4182641601333112,-1.2805993743681223,-1.8162281961554487
11,METTL13,0.9615848703536248,-0.6534096037992129,-0.6283087891570794
12,UNKL,-0.7019911529065906,-1.7669299335362123,1.2403691811482513
13,MMAB,0.7727141828443753,-0.8290377435252059,-0.6406092225352242
14,UBE4A,-0.6051260403489988,-0.354155922328197,0.2143089709446094
15,DDX41,-0.7381982847329215,0.6473203422886943,-0.47785076635024176
16,ATMIN,0.2733123281521765,-0.3479649832794597,-0.09510311969554229
17,TSG101,-0.7125514432176009,-0.4466796167216044,0.318282205550864
18,FBXW11,-0.3158993610092762,0.9343838528654363,-0.2951712620575769
19,UBE2D4,-0.8766052707360518,-1.0403033180410726,0.9119353717590074
20,RPS27A,-0.792322658454347,-0.3584713464464834,0.28402497019618694
21,UBE2D2,-0.6949134725684718,-1.9350930974912008,1.3447222641208907
22,ATP6V1H,-0.4289343574736571,-1.1871209646442222,0.5091969682131775
23,UBE2D1,-0.7053972857272195,-1.3712849112915746,0.9673006543837677
24,MFSD11,-0.333167037104415,1.570389059578737,-0.5232018700810365
25,CCT3,-0.0993087830650644,-0.3120236278320274,0.0309866867675452
26,LNX1,0.9893497468022034,0.9783945821199174,0.967974432092988
27,MRFAP1L1,-0.6672316850392317,-0.4150069850181835,0.27690580991673375
28,GTF2B,-1.6242995158170987,1.8658714722760863,-3.0307341289949843
29,FBXL13,-0.5270655094313094,-2.0623451734338683,1.0869910094591237
30,FBXL12,-0.5413593753410533,-1.9177919081841357,1.0382146294486903
31,FBXL15,-0.677132307507631,-1.115328988771748,0.7552252917971664
32,FBXL14,-0.5782220093193109,-1.9442857497581256,1.1242288129160463
33,FBXL16,-0.5637642945077893,4.04635657834316,-2.281191361716584
34,FBXL19,0.8213146123426506,-2.1192127380892227,-1.740540388455357
35,FBXL18,-0.5269696220932668,-1.9466710449979312,1.0258365049224647
36,CCDC51,-0.720874433643027,-1.1773930574127305,0.848752553437634
37,PPP1R11,-0.6966484570371506,0.0812042606060158,-0.05657082285602358
38,AKTIP,-0.6320467996583375,-0.4746000873467807,0.2999694663251002
39,RNF41,-0.8747262599634948,0.4285186976523683,-0.37483655772188373
40,ANAPC1,-0.450896951354461,-0.2905891727216162,0.13102577207679167
41,ANAPC2,-1.0048581986244778,0.4180521229983366,-0.4200831032472471
42,ANAPC5,0.8421279717373784,-0.8143286731558375,-0.685768953852316
43,ANAPC4,-0.5996911766664403,-0.962346728694508,0.5771108420919091
44,ANAPC7,-0.9993736347601002,0.8537192789490329,-0.8531845388680669
45,ZNRF1,-0.5561859696379683,-1.9990080982328624,1.1118202574297955
46,LRR1,-1.166509079611148,-1.9360017908345424,2.258363667151936
47,ZNRF2,1.807064197469687,-1.28395065885602,-2.3201812669363298
48,FBXO30,-0.646637953381338,-0.6010047935180151,0.3886325096528629
49,FBXO5,-0.9471113640208934,-2.4160640706583214,2.288281737523075
50,FBXO32,-0.7170408471588391,-0.6838705274571016,0.4903631023548023
51,EMC7,-1.4541232859829445,-0.6139673427689946,0.8927842099534672
52,KLHL25,-0.1620987948948344,-1.7717679906747537,0.28720145612161974
53,KLHL21,-0.6727046938756327,2.126105942373186,-1.4302414471113176
54,KLHL20,-0.7144450901537835,-0.1336330579669987,0.09547348214675817
55,KLHL22,-0.7475722290363652,-0.3847267453911814,0.2876110306219916
56,MKRN1,0.0307165717339839,0.4803193323818349,0.014753763228325887
57,SPSB2,-0.4351540535362307,-1.1265799162932353,0.4902358172075088
58,SPSB1,-0.8549183414103504,-1.666183636048687,1.4244509506158105
59,TRIM50,-0.8888132220875015,-1.1264257187654971,1.0011820725381912
60,SPSB4,-0.5886622096598837,-0.9242924663307472,0.5440960456022413
61,ARF1,0.8467079987600354,1.7567926926554234,1.4874904250345276
62,CDC34,-1.2971505618003911,0.1876308283558819,-0.24338543441290497
63,AREL1,1.3671014379953008,1.5096470319916402,2.0638406283011093
64,LONRF1,-0.6815273521445832,-1.8708155993836,1.2750120017986861
65,CIAO2B,-0.3578088821950468,0.3666222979716679,-0.13118071462502187
66,RNF25,-0.6653953223633418,-0.2691428419135978,0.17908638805688432
67,UBE2V1,-1.1196784273756035,-2.0552517886923627,2.3012210906239607
68,UBE2V2,-0.6781500302085754,-1.937855234871316,1.314156586067829
69,RNF26,-0.518654515689109,-1.1848327640903995,0.6145188634318945
70,PSMD8,-0.2813100406425247,1.3010360528040106,-0.3659945048916861
71,LMO7,1.4326598093762544,-0.3235978663406006,-0.4636056575060875
72,MGRN1,-0.9684910142860303,1.058065270768244,-1.02472670726716
73,DHX8,1.4158991291303038,-1.1048461636076092,-1.564350720874971
74,SPCS1,-1.9231361081623863,-0.7282122254620058,1.4004512251912722
75,ITCH,0.9392073248828924,0.4303584815085375,0.40419583815829724
